Fid,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
198.11.132.221-10.42.0.211-443-40627-6,Andhra Pradesh,ANANTAPUR,2022,Rabi       ,Rice,26600,63900
172.217.10.3-10.42.0.151-443-39940-6,Andhra Pradesh,ANANTAPUR,2022,Rabi       ,Sunflower,13500,3300
172.217.9.234-10.42.0.211-443-55541-6,Andhra Pradesh,ANANTAPUR,2022,Rabi       ,Wheat,400,200
169.45.248.168-10.42.0.211-443-51959-6,Andhra Pradesh,ANANTAPUR,2017,Rabi       ,Wheat,307,213
172.217.12.206-10.42.0.151-443-50331-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Arecanut,257,430
172.217.12.142-10.42.0.151-443-52312-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Banana,1582,462
10.42.0.211-31.13.80.52-49785-443-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Coconut ,851,3053700
239.255.255.250-10.42.0.42-1900-52184-17,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Coriander,4741,1119
10.42.0.211-66.102.255.61-32943-443-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Sugarcane,490,42470
10.42.0.151-108.174.10.10-51848-443-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Sweet potato,31,411
10.42.0.211-72.21.206.140-38877-443-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Tobacco,111,111
202.77.129.161-10.42.0.211-80-47609-6,Andhra Pradesh,ANANTAPUR,2017,Whole Year ,Turmeric,8,40
182.22.24.124-10.42.0.211-443-55203-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Arhar/Tur,33454,6557
10.42.0.211-121.12.98.64-57447-80-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Bajra,1925,581
10.42.0.151-64.71.142.96-34008-443-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Castor seed,2050,416
10.42.0.211-10.42.0.1-26748-53-17,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Cotton(lint),7638,7144
182.22.24.124-10.42.0.211-443-45729-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Dry chillies,2737,6128
10.42.0.211-36.110.213.49-41074-80-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Groundnut,732262,259953
192.229.173.136-10.42.0.151-443-43156-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Horse-gram,947,140
208.185.50.75-10.42.0.211-443-53101-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Jowar,2906,4545
174.35.73.136-10.42.0.211-80-53622-6,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Korra,1000,100
10.42.0.151-10.42.0.1-21724-53-17,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Maize,3541,3431
10.42.0.211-10.42.0.1-49560-53-17,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Moong(Green Gram),1150,174
205.204.101.47-10.42.0.151-443-49641-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Bajra,1609,1878
10.42.0.1-10.42.0.42-53-18473-17,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Castor seed,2,1
10.42.0.211-10.42.0.1-56064-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Cotton(lint),11062,11452
10.42.0.151-119.146.74.33-50174-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Dry chillies,228,1026
202.77.129.150-10.42.0.211-80-57101-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Groundnut,36733,32362
192.229.173.173-10.42.0.42-80-38018-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Jowar,391,291
169.47.42.215-10.42.0.211-443-41852-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Maize,2920,8903
10.42.0.211-23.194.181.192-57469-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Mesta,46897,437705
10.42.0.211-10.42.0.1-15721-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Moong(Green Gram),823,320
172.217.10.142-10.42.0.151-443-48214-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Niger seed,502,303
172.217.10.110-10.42.0.151-443-58958-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Onion,457,7663
10.42.0.211-10.42.0.1-28312-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Ragi,4184,5468
10.42.0.211-104.88.106.21-46494-80-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Rice,117452,281532
10.42.0.151-31.13.80.5-50350-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Sesamum,14603,2570
10.42.0.211-10.42.0.1-36464-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Small millets,2785,2014
10.42.0.42-23.208.218.4-60794-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Urad,702,269
10.42.0.211-125.39.133.40-43556-80-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Dry chillies,1881,3104
10.42.0.211-66.198.24.253-38016-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Gram,165,315
10.42.0.211-123.125.115.164-43270-443-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Groundnut,3550,5211
216.58.209.99-10.42.0.151-443-43397-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Horse-gram,19884,9723
203.205.158.52-10.42.0.211-80-40319-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Jowar,29,63
10.42.0.211-10.42.0.1-27606-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Maize,8671,32100
172.217.11.14-10.42.0.151-443-35270-6,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Moong(Green Gram),18605,8875
10.42.0.211-10.42.0.1-58658-53-17,Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Onion,398,4747
10.42.0.211-121.12.98.78-41539-80-6,Assam,CACHAR,2020,Kharif     ,Arhar/Tur,120,85
10.42.0.42-106.11.94.21-53975-443-6,Assam,CACHAR,2020,Kharif     ,Cotton(lint),120,44
10.42.0.211-69.147.82.61-48655-443-6,Assam,CACHAR,2020,Kharif     ,Jute,75,779
151.101.117.140-10.42.0.211-443-35788-6,Assam,CACHAR,2020,Kharif     ,Maize,75,38
172.217.12.138-10.42.0.151-443-36717-6,Assam,CACHAR,2020,Kharif     ,Mesta,6,27
10.42.0.42-64.71.142.110-40909-80-6,Assam,CACHAR,2020,Kharif     ,Niger seed,26,11
10.42.0.211-10.42.0.1-34830-53-17,Assam,CACHAR,2020,Kharif     ,Sesamum,176,62
10.42.0.211-10.42.0.1-3571-53-17,Assam,CACHAR,2020,Kharif     ,Small millets,28,12
10.42.0.211-10.42.0.1-22249-53-17,Assam,CACHAR,2020,Rabi       ,Gram,48,25
172.217.10.78-10.42.0.151-443-58082-6,Assam,CACHAR,2020,Rabi       ,Linseed,40,17
10.42.0.42-72.21.206.121-58994-443-6,Assam,CACHAR,2020,Rabi       ,Masoor,15,8
10.42.0.151-64.71.142.120-33748-80-6,Assam,CACHAR,2020,Rabi       ,Moong(Green Gram),23,11
172.217.10.234-10.42.0.151-443-34757-6,Assam,CACHAR,2020,Rabi       ,other misc. pulses,2555,1155
172.217.6.206-10.42.0.151-443-48645-6,Assam,CACHAR,2020,Rabi       ,Peas & beans (Pulses),418,219
157.240.2.25-10.42.0.151-443-52975-6,Assam,CACHAR,2020,Rabi       ,Rapeseed &Mustard,1675,1446
10.42.0.211-64.71.142.124-55658-443-6,Assam,CACHAR,2020,Rabi       ,Urad,780,408
10.42.0.211-64.71.142.96-38238-443-6,Assam,CACHAR,2020,Rabi       ,Wheat,60,63
10.42.0.211-52.9.83.130-47237-443-6,Assam,CACHAR,2020,Summer     ,Rice,9865,0
10.42.0.1-10.42.0.42-53-9548-17,Assam,CACHAR,2020,Whole Year ,Arecanut,4464,1222
10.42.0.1-10.42.0.42-53-14674-17,Assam,CACHAR,2020,Whole Year ,Banana,3145,37740
8.0.6.4-8.6.0.1-0-0-0,Assam,CACHAR,2020,Whole Year ,Coconut ,1400,2168000
172.217.7.195-10.42.0.211-443-60847-6,Assam,CACHAR,2020,Whole Year ,Dry chillies,763,467
10.42.0.211-23.206.173.182-40998-80-6,Assam,CACHAR,2020,Whole Year ,Onion,159,516
10.42.0.151-10.42.0.1-5259-53-17,Assam,CACHAR,2020,Whole Year ,Orange,110,660
172.217.9.234-10.42.0.211-443-59517-6,Assam,CACHAR,2020,Whole Year ,Papaya,370,4550
10.42.0.151-10.42.0.1-30305-53-17,Assam,CACHAR,2020,Whole Year ,Pineapple,1550,26207
8.0.6.4-8.6.0.1-0-0-0,Assam,CACHAR,2020,Whole Year ,Potato,1715,7714
172.217.10.42-10.42.0.42-443-55468-6,Assam,CACHAR,2020,Whole Year ,Sugarcane,300,12140
203.205.179.170-10.42.0.211-80-47929-6,Assam,CACHAR,2020,Whole Year ,Sweet potato,176,924
10.42.0.151-68.67.178.197-37377-443-6,Assam,CACHAR,2020,Whole Year ,Tapioca,32,138
10.42.0.42-69.147.82.60-49050-443-6,Assam,CACHAR,2020,Whole Year ,Tobacco,9,6
10.42.0.211-104.88.89.135-50250-443-6,Assam,CACHAR,2020,Whole Year ,Turmeric,260,244
10.42.0.211-10.42.0.1-33922-53-17,Assam,CACHAR,2020,Winter     ,Rice,90081,215840
172.217.10.99-10.42.0.151-443-35193-17,Assam,CACHAR,2004,Autumn     ,Rice,10174,2140
10.42.0.151-108.174.11.1-54825-80-6,Assam,CACHAR,2004,Kharif     ,Arhar/Tur,125,89
10.42.0.42-13.228.179.78-44951-80-6,Assam,CACHAR,2004,Kharif     ,Cotton(lint),103,38
10.42.0.211-106.11.92.16-50691-443-6,Assam,CACHAR,2004,Kharif     ,Jute,81,574
10.42.0.211-23.206.166.66-37178-80-6,Assam,KARBI ANGLONG,2012,Rabi       ,Peas & beans (Pulses),587,363
172.217.7.227-10.42.0.42-80-53559-6,Assam,KARBI ANGLONG,2012,Rabi       ,Pineapple,1961,28092
10.42.0.42-104.192.110.245-39436-80-6,Assam,KARBI ANGLONG,2012,Rabi       ,Rapeseed &Mustard,19697,13460
10.42.0.211-10.42.0.1-41631-53-17,Assam,KARBI ANGLONG,2012,Rabi       ,Sweet potato,314,1094
10.42.0.211-10.42.0.1-11111-53-17,Assam,KARBI ANGLONG,2012,Rabi       ,Urad,1174,647
173.194.175.138-10.42.0.151-443-56805-6,Assam,KARBI ANGLONG,2012,Rabi       ,Wheat,1172,1514
10.42.0.211-10.42.0.1-13517-53-17,Assam,KARBI ANGLONG,2012,Summer     ,Rice,1572,4661
172.217.10.99-10.42.0.151-443-37332-6,Assam,KARBI ANGLONG,2012,Whole Year ,Banana,1813,29572
10.42.0.1-10.42.0.42-53-9672-17,Assam,KARBI ANGLONG,2012,Whole Year ,Coconut ,466,2653
172.217.10.99-10.42.0.211-443-51021-6,Assam,KARBI ANGLONG,2012,Whole Year ,Onion,252,536
172.217.6.234-10.42.0.42-443-50268-6,Assam,KARBI ANGLONG,2012,Whole Year ,Potato,796,5911
10.42.0.211-31.13.71.7-49080-443-6,Assam,KARBI ANGLONG,2012,Whole Year ,Sugarcane,7285,284415
10.42.0.151-10.42.0.1-43424-53-17,Assam,KARBI ANGLONG,2012,Whole Year ,Turmeric,1236,1304
220.194.79.34-10.42.0.42-443-38894-6,Assam,KARBI ANGLONG,2012,Winter     ,Paddy,117679,181966
10.42.0.151-10.42.0.1-43169-53-17,Assam,KARBI ANGLONG,2012,Winter     ,Rice,117679,181966
10.42.0.211-10.42.0.1-6305-53-17,Assam,KARBI ANGLONG,2013,Autumn     ,Paddy,9103,12411
10.42.0.211-52.22.102.34-49920-443-6,Assam,KARBI ANGLONG,2013,Autumn     ,Rice,9103,12411
10.42.0.211-10.42.0.1-5351-44404-17,Assam,KARBI ANGLONG,2013,Kharif     ,Arhar/Tur,1231,934
192.229.173.173-10.42.0.211-80-34765-6,Assam,KARBI ANGLONG,2013,Kharif     ,Castor seed,426,167
10.42.0.151-108.168.176.199-57691-5222-6,Assam,KARBI ANGLONG,2013,Kharif     ,Cotton(lint),817,405
10.42.0.211-10.42.0.1-26538-53-17,Assam,KARBI ANGLONG,2013,Kharif     ,Jute,1701,17473
10.42.0.211-10.42.0.1-29699-53-17,Assam,KARBI ANGLONG,2013,Kharif     ,Maize,10601,23450
10.42.0.211-10.42.0.1-12535-53-17,Assam,KARBI ANGLONG,2013,Kharif     ,Mesta,176,929
10.42.0.151-54.192.38.230-55546-443-6,Assam,KARBI ANGLONG,2013,Kharif     ,Niger seed,22,11
10.42.0.211-104.192.110.245-59852-443-6,Assam,KARBI ANGLONG,2013,Kharif     ,Orange,1108,19143
202.77.129.150-10.42.0.151-80-47526-6,Assam,KARBI ANGLONG,2013,Kharif     ,Papaya,571,9991
10.42.0.151-104.244.42.1-44052-443-6,Assam,KARBI ANGLONG,2013,Kharif     ,Sesamum,3072,2321
182.22.25.124-10.42.0.211-443-46833-6,Assam,KARBI ANGLONG,2013,Kharif     ,Small millets,211,75
10.42.0.211-10.42.0.1-19796-53-17,Assam,KARBI ANGLONG,2013,Kharif     ,Tapioca,321,3702
219.234.85.214-10.42.0.211-80-38169-6,Assam,KARBI ANGLONG,2013,Kharif     ,Tobacco,57,23
10.42.0.211-10.42.0.1-14324-53-17,Assam,KARBI ANGLONG,2013,Rabi       ,Arecanut,1487,460
151.101.1.140-10.42.0.151-443-40598-6,Assam,KARBI ANGLONG,2013,Rabi       ,Black pepper,264,393
172.217.2.106-10.42.0.211-443-39625-6,Assam,KARBI ANGLONG,2013,Rabi       ,Dry chillies,388,334
10.42.0.211-14.29.93.254-34950-80-6,Assam,KARBI ANGLONG,2013,Rabi       ,Ginger,1566,12728
180.149.136.194-10.42.0.151-80-54190-6,Assam,KARBI ANGLONG,2013,Rabi       ,Gram,453,236
157.240.18.19-10.42.0.211-443-59005-6,Assam,KARBI ANGLONG,2013,Rabi       ,Linseed,68,28
10.42.0.211-10.42.0.1-47716-53-17,Assam,KARBI ANGLONG,2013,Rabi       ,Masoor,227,138
202.77.129.150-10.42.0.211-80-37124-6,Assam,KARBI ANGLONG,2013,Rabi       ,Moong(Green Gram),1107,766
151.101.129.140-10.42.0.42-443-48106-6,Assam,KARBI ANGLONG,2013,Rabi       ,Peas & beans (Pulses),590,417
172.217.6.202-10.42.0.211-443-58655-6,Assam,KARBI ANGLONG,2013,Rabi       ,Pineapple,1962,35028
10.42.0.211-10.42.0.1-5372-53-17,Assam,KARBI ANGLONG,2013,Rabi       ,Rapeseed &Mustard,19704,10009
224.0.0.251-10.42.0.211-5353-5353-17,Assam,KARBI ANGLONG,2013,Rabi       ,Sweet potato,296,1032
172.217.11.42-10.42.0.151-443-55447-6,Assam,KARBI ANGLONG,2013,Rabi       ,Urad,1213,704
216.58.219.238-10.42.0.211-443-34498-6,Assam,KARBI ANGLONG,2013,Rabi       ,Wheat,1170,1512
10.42.0.42-52.84.1.250-35751-443-6,Assam,KARBI ANGLONG,2013,Summer     ,Paddy,2256,4257
172.217.6.225-10.42.0.151-443-37336-6,Assam,KARBI ANGLONG,2013,Summer     ,Rice,2256,4257
172.217.3.98-10.42.0.211-443-53902-6,Assam,KARBI ANGLONG,2013,Whole Year ,Banana,1796,29294
10.42.0.211-54.153.105.33-49219-443-6,Assam,KARBI ANGLONG,2013,Whole Year ,Coconut ,499,676
10.42.0.211-104.196.149.35-59970-443-6,Assam,KARBI ANGLONG,2013,Whole Year ,Onion,264,561
222.73.28.96-10.42.0.211-80-57014-6,Assam,KARBI ANGLONG,2013,Whole Year ,Potato,789,7619
10.42.0.1-10.42.0.42-53-26150-17,Assam,KARBI ANGLONG,2013,Whole Year ,Sugarcane,7639,301787
10.42.0.42-125.39.83.108-40524-443-6,Assam,KARBI ANGLONG,2013,Whole Year ,Turmeric,1243,1243
10.42.0.211-52.84.29.154-47420-443-6,Assam,KARBI ANGLONG,2013,Winter     ,Paddy,118841,203249
10.42.0.151-23.21.72.212-46930-443-6,Assam,KARBI ANGLONG,2013,Winter     ,Rice,118841,203249
172.217.12.162-10.42.0.211-443-58925-6,Assam,KARBI ANGLONG,2014,Autumn     ,Paddy,6829,9986
10.42.0.151-10.42.0.1-20466-53-17,Assam,KARBI ANGLONG,2014,Autumn     ,Rice,6829,9986
10.42.0.211-66.198.178.88-35842-443-6,Assam,KARBI ANGLONG,2014,Kharif     ,Arhar/Tur,1100,1011
10.42.0.211-114.134.80.163-53791-80-6,Assam,KARBI ANGLONG,2014,Kharif     ,Castor seed,433,246
10.42.0.211-64.71.142.110-42463-443-6,Assam,KARBI ANGLONG,2014,Kharif     ,Cotton(lint),567,280
172.217.5.227-10.42.0.211-443-37939-6,Assam,KARBI ANGLONG,2014,Kharif     ,Jute,1395,15205
172.217.10.142-10.42.0.42-443-54959-6,Assam,KARBI ANGLONG,2014,Kharif     ,Maize,10375,37969
10.42.0.211-104.97.95.172-39618-80-6,Assam,KARBI ANGLONG,2014,Kharif     ,Mesta,179,1483
180.149.153.234-10.42.0.211-80-38290-6,Assam,KARBI ANGLONG,2014,Kharif     ,Niger seed,24,12
216.58.219.202-10.42.0.211-443-49874-6,Assam,KARBI ANGLONG,2014,Kharif     ,Orange,1148,19843
10.42.0.211-119.167.164.33-42562-80-6,Assam,KARBI ANGLONG,2014,Kharif     ,Papaya,584,10219
183.79.250.123-10.42.0.211-443-35943-6,Assam,KARBI ANGLONG,2014,Kharif     ,Sesamum,3075,2561
10.42.0.211-66.231.239.96-40447-443-6,Assam,KARBI ANGLONG,2014,Kharif     ,Small millets,222,107
10.42.0.151-64.71.142.120-56330-443-6,Assam,KARBI ANGLONG,2014,Kharif     ,Tapioca,354,4083
203.205.191.27-10.42.0.151-80-43276-6,Assam,KARBI ANGLONG,2014,Kharif     ,Tobacco,63,26
172.217.10.1-10.42.0.151-443-52271-17,Assam,KARBI ANGLONG,2014,Rabi       ,Black pepper,269,402
10.42.0.211-123.125.29.220-52332-80-6,Assam,KARBI ANGLONG,2014,Rabi       ,Dry chillies,396,343
10.42.0.151-10.42.0.1-2194-53-17,Assam,KARBI ANGLONG,2014,Rabi       ,Ginger,1588,16971
10.42.0.151-31.13.80.5-38533-443-6,Assam,KARBI ANGLONG,2014,Rabi       ,Gram,465,337
255.255.255.255-0.0.0.0-67-68-17,Assam,KARBI ANGLONG,2014,Rabi       ,Linseed,69,39
10.42.0.211-52.84.29.154-52856-443-6,Assam,KARBI ANGLONG,2014,Rabi       ,Masoor,245,186
10.42.0.211-104.192.110.245-37619-443-6,Assam,KARBI ANGLONG,2014,Rabi       ,Moong(Green Gram),1127,1006
10.42.0.151-10.42.0.1-34163-53-17,Assam,KARBI ANGLONG,2014,Rabi       ,Peas & beans (Pulses),624,525
10.42.0.211-10.42.0.1-9195-53-17,Assam,KARBI ANGLONG,2014,Rabi       ,Pineapple,2025,36153
10.42.0.211-10.42.0.1-19166-53-17,Assam,KARBI ANGLONG,2014,Rabi       ,Rapeseed &Mustard,19713,11316
172.217.9.238-10.42.0.42-443-33455-6,Assam,KARBI ANGLONG,2014,Rabi       ,Sweet potato,306,1708
10.42.0.211-77.234.44.40-40877-80-6,Assam,KARBI ANGLONG,2014,Rabi       ,Urad,1221,792
172.217.12.206-10.42.0.211-443-52499-6,Assam,KARBI ANGLONG,2014,Rabi       ,Wheat,1178,1434
10.42.0.42-104.254.66.16-49953-80-6,Assam,KARBI ANGLONG,2014,Summer     ,Paddy,2334,3981
172.217.11.14-10.42.0.211-443-55682-6,Assam,KARBI ANGLONG,2014,Summer     ,Rice,2334,3981
173.194.185.43-10.42.0.151-443-60452-6,Assam,KARBI ANGLONG,2014,Whole Year ,Banana,1838,29980
10.42.0.42-125.39.133.40-36701-80-6,Assam,KARBI ANGLONG,2014,Whole Year ,Onion,269,680
172.217.10.3-10.42.0.42-443-49614-17,Assam,KARBI ANGLONG,2014,Whole Year ,Potato,849,7717
